id,message,created_time,comments_count,shares_count,likes,love_count,haha_count,wow_count,sad_count,angry_count,status
1.54725E+15,#亞泥股東會現場直擊?近來頻頻上版面呀...聽聽徐旭東怎麼說吧！(#01J),2017/6/27,250,39,454,18,10,12,13,552,T
10203334903731097/,他說自己比郭台銘、王文淵更忍耐,2017/6/15,195,56,344,4,141,19,5,443,T
1.47081E+15,》亞泥礦權獲再展延20年 環團嗆無限期封路抗爭,2017/11/24,90,29,609,5,7,32,11,244,T
1.01559E+16,湖泊？？,2017/6/13,594,506,590,5,431,77,18,1028,T
1.0156E+16,「與日本、瑞士、義大利相比，亞泥礦區的植生復育優於先進國家。」,2017/6/12,54,148,1206,12,84,29,16,527,T
1.40004E+15,【徐旭東說的是真的！！！】,2017/6/14,142,360,2765,8,33,233,44,968,T
1.54056E+15,關於挖更深，亞泥董事長徐旭東：挖深更可以儲水，還可以養魚,2017/6/14,248,37,838,9,125,37,20,918,T
3.08804E+14,徐：「我們很努力，挖出來也綠化回去，我不愛台灣嗎？」,2017/6/14,178,67,436,1,88,26,14,357,T
1.57811E+15,亞泥開採惹爭議！ 發最新聲明「愛台灣、禁得起檢驗」,2017/6/15,114,36,493,5,17,60,8,300,T
1.01561E+16,大老闆就是大老闆，凡人參不透啊...,2017/6/28,102,23,515,3,50,13,2,304,T
1.22389E+15,有人家中6人都在亞泥上班，對於亞泥提供工作，他們說，可以就近照顧家人，很感謝亞泥，認為與亞泥應像鄰居一樣和平共存,2017/7/23,161,29,1504,8,57,46,18,247,T
1.0156E+16,來∼徐董這樣說，你怎麼看！,2017/6/15,732,108,690,10,535,41,2,727,T
1.55091E+15,#亞泥 live,2017/6/16,209,20,1325,144,7,13,48,0,T
